DateTime, Subject, Sender, URL, Message, ReadFlag
"2012-01-22 17:26:06", "Welcome to Thexyz.in!", "info@thexyz.in", "2_0_0_22_22_AIJ03rQAADBbTxv5VgPGtTG/5kA", "Hello, testsup28. Your account at Thexyz.in has been successfully set up. Please keep the below information for future reference: ----------------------------------------- Login URL: http://www.thexyz.in/login.php Username.: testsup28 Password.: (password choosen when registered) ----------------------------------------- Email has been automatically generated on Jan 22, 2012 at 05:56:04. ", "False"
"2012-01-22 23:00:44", "Thanks for joining! Please activate your account.", "password@linkbookmarks.info", "2_0_0_22_9097_AIt03rQAAMsXTxxHxAjrUkKn1S0", "Hello testsup28, We've sent you this email because you signed up for a new account on LinkBookmarks. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://linkbookmarks.info/validation.php?code=c97438c8ee42fbb4766ccee2eceaec3f&uid=testsup28 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://linkbookmarks.info Enjoy! The Administrator ", "False"
"2012-01-22 23:51:59", "Welcome to Ohter!", "password@pligg.com", "2_0_0_22_13976_AON13rQAANecTxxTxwgVu3cf1Q4", "Hello, testsup28. Your account at Ohter has been successfully set up. Please keep the below information for future reference: ----------------------------------------- Login URL: http://www.ohter.com/login.php Username.: testsup28 Password.: (password choosen when registered) ----------------------------------------- Email has been automatically generated on Jan 22, 2012 at 13:03:03. ", "False"
"2012-01-22 19:34:52", "Thanks for joining! Please activate your account.", "password@youthgroup.net", "2_0_0_22_1926_AIh03rQAAGBDTxwXhAMQJnFJn0I", "Hello testsup28, We've sent you this email because you signed up for a new account on YouthGroup.net. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.youthgroup.net/validation.php?code=9a38e01b64a4575186d77c88d0b0ea7a&uid=testsup28 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.youthgroup.net Enjoy! The Administrator ", "False"
"2012-01-22 22:30:50", "Thanks for joining! Please activate your account.", "password@droidblast.com", "2_0_0_22_3951_AN913rQAAX9RTxxAwgjK0k5fpF8", "Hello testsup28, We've sent you this email because you signed up for a new account on droidblast.com. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.droidblast.com/validation.php?code=9096a160ab2871b88857c5e01b263466&uid=testsup28 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.droidblast.com Enjoy! The Administrator ", "False"
"2012-01-22 22:51:31", "Thanks for joining! Please activate your account.", "password@pligg.com", "2_0_0_22_8500_AIl03rQAAKYETxxFmwyMJGrUFlU", "Hello testsup23, We've sent you this email because you signed up for a new account on My Site. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://www.healthtechlive.com/validation.php?code=2078768976e50c642a6f57e347f23a69&uid=testsup23 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://www.healthtechlive.com Enjoy! The Administrator ", "False"
"2012-01-22 23:51:32", "Welcome to NOTICIAS PORNO | NOTICIAS SEXO!", "password@pligg.com", "2_0_0_22_13007_AIN03rQAADjyTxxTrAkUGUV4vcw", "Hello, testsup28. Your account at NOTICIAS PORNO | NOTICIAS SEXO has been successfully set up. Please keep the below information for future reference: ----------------------------------------- Login URL: http://noticiaporno.com/login.php Username.: testsup28 Password.: (password choosen when registered) ----------------------------------------- Email has been automatically generated on Jan 22, 2012 at 19:21:30. ", "False"
"2012-01-22 23:02:27", "Welcome to My Hot Celebs!", "password@pligg.com", "2_0_0_22_11134_AIJ03rQAANGfTxxIKwHiog/Fy0A", "Hello, testsup26. Your account at My Hot Celebs has been successfully set up. Please keep the below information for future reference: ----------------------------------------- Login URL: http://www.myhotcelebs.com/login.php Username.: testsup26 Password.: (password choosen when registered) ----------------------------------------- Email has been automatically generated on Jan 22, 2012 at 21:31:33. ", "True"
"2012-01-22 22:32:10", "Welcome to My Site!", "password@pligg.com", "2_0_0_22_7551_AOF13rQAAWuLTxxBEgTLT3HxuGM", "Hello, testsup30. Your account at My Site has been successfully set up. Please keep the below information for future reference: ----------------------------------------- Login URL: http://www.freehotlinksdirectory.com/login.php Username.: testsup30 Password.: (password choosen when registered) ----------------------------------------- Email has been automatically generated on Jan 22, 2012 at 20:04:44. ", "False"
"2012-01-22 19:36:22", "Thanks for joining! Please activate your account.", "webmaster@ziovex.com", "2_0_0_22_2954_AN513rQAANBGTxwX3gmAaySM3jI", "Hello testsup28, We've sent you this email because you signed up for a new account on Ziovex.com. If you didn't mean to do that, you can safely ignore this message. Visit this link to activate your account: http://ziovex.com/validation.php?code=ea63dfbe98ef11eff204adb7152df609&uid=testsup28 Your Password is spmprx If clicking the link doesn't work, copying the complete link address into your browser. Still having trouble? Contact us at After activation of your account, you can login at http://ziovex.com Enjoy! The Administrator ", "False"
